Testo 350 Gas Analyzer
Date Time,NO (ppm),O2 (%),CO2i (%),CO (ppm),NO2 (ppm),SO2 (ppm),Tf (C),Ta (C),Pump (L\min),Batt (V),dP (inW),Pabs (hPa),CO2 (%),MCO2 (Kg/h),Pabs (hPa)
4/12/2015 14:33:27,8.0,20.94,0.66,0.2,1.0,0,30.8,25.7,1.06,9.2,0.00,960.0,0.00,0,960.0
4/12/2015 14:33:29,8.0,20.94,0.07,0.9,1.0,0,30.3,25.7,1.06,9.2,0.00,960.0,0.00,0,960.0
4/12/2015 14:33:30,5.2,20.94,0.07,0.9,0.8,0,30.0,25.7,1.06,9.2,0.00,960.0,0.00,0,960.0
4/12/2015 14:33:31,5.2,20.94,0.07,0.9,1.0,0,30.0,25.7,1.06,9.2,0.00,960.0,0.00,0,960.0
4/12/2015 14:33:32,4.2,20.94,0.07,2.5,1.0,0,29.8,25.7,1.06,9.2,0.00,960.0,0.00,0,960.0
4/12/2015 14:33:33,4.2,20.94,0.08,2.5,1.0,0,29.8,25.7,1.06,9.2,0.00,960.0,0.00,0,960.0
4/12/2015 14:33:35,3.9,20.94,0.08,4.9,0.8,0,29.5,25.7,1.06,9.2,0.00,960.0,0.00,0,960.0
4/12/2015 14:33:37,3.7,20.94,0.06,7.8,0.8,0,29.4,25.7,1.06,9.2,0.00,960.0,0.00,0,960.0
4/12/2015 14:33:38,3.7,20.94,0.06,7.8,0.8,0,29.4,25.7,1.07,9.2,0.00,960.0,0.00,0,960.0
4/12/2015 14:33:39,3.7,20.94,0.06,10.5,0.8,0,29.3,25.7,1.07,9.2,0.00,960.0,0.00,0,960.0
4/12/2015 14:33:41,3.7,20.94,0.06,10.5,0.8,0,29.3,25.7,1.07,9.2,0.00,960.0,0.00,0,960.0
4/12/2015 14:33:42,4.0,20.94,0.06,13.7,0.8,0,29.3,25.7,1.07,9.2,0.00,960.0,0.00,0,960.0
4/12/2015 14:33:43,4.0,20.94,0.06,13.7,0.6,0,29.2,25.7,1.07,9.2,0.00,960.0,0.00,0,960.0
